Title,Page
"4. What types of organizations, including but not limited to ACOs and providers, are interested",909
"5. What additional flexibilities or features (for example, benefit enhancements, advance",909
6. How should a revised ENHANCED track with higher risk and potential reward also require,909
s with,909
"8. How should CMS consider the discount, sharing rate, and risk corridors or marginal savings",909
9. How might we improve beneficiary assignment and are there different considerations for,910
11. We are interested in ways to increase participation by healthcare providers and suppliers in,910
f. Proposed Technical Change for Consistency in Financial Calculations,910
8.  Beneficiary Notification Requirements,916
a. Proposal to Modify the Requirements for When ACOs Must Provide the Beneficiary,916
b. Limit the Distribution of the Beneficiary Notification to Beneficiaries Likely to be Assigned,917
"H.  Medicare Part B Payment for Preventive Services (§§ 410.10, 410.57, 410.64, 410.152)",919
1.  Part B Preventive Vaccines and their Administration,919
a. Statutory Background,919
"b. Pneumococcal, Influenza and Hepatitis B Vaccine Administration",920
c. COVID-19 Vaccine Administration,922
l Payment for Administration of Preventive Vaccines,924
e. COVID-19 Monoclonal Antibodies and their Administration,926
f. Summary of Payment Amounts for CY 2025,928
2. Revised Payment Policies for Hepatitis B Vaccine Administration,931
a. Background,931
b. Revisions to Payment Policies for Hepatitis B Vaccinations,932
c. Revisions to Payment Policies for Hepatitis B Vaccinations in Rural Health Clinics (RHC) and,933
d. Regulations Concerning Hepatitis B Vaccines and their Administration,936
3. Payment for Drugs Covered as Additional Preventive Services (§410.152),937
a.  Statutory Background,937
b. Proposed Fee Schedule for Drugs Covered as Additional Preventive Services (DCAPS),939
c. Payment for Supplying and Administration of Drugs under the Additional Preventive Services,944
d. Payment for Drugs Covered as Additional Preventive Services in RHCs and FQHCs,947
Program,949
1.  Background,949
a.  Overview of the Medicare Prescription Drug Inflation Rebate Program,949
b.  Summary of Proposed Policies for the Medicare Prescription Drug Inflation Rebate Program,951
c.  Timeline of Key Dates for the Medicare Prescription Drug Inflation Rebate Program,955
2.  Medicare Part B Drug Rebates for Single Source Drugs and Biological Products with Prices,958
a.  Definitions (§ 427.20),958
b.  Determination of Part B Rebatable Drugs (§§ 427.100 through 427.101),959
i.  Definitions,959
c.  Inflation-Adjusted Beneficiary Coinsurance Adjustment and Adjusted Medicare Payment for,968
d.  Determination of the Rebate Amount for Part B Rebatable Drugs (§§ 427.300 through,972
i.  Definitions,972
v.  Adjustments for Changes to Billing and Payment Codes,994
e.  Reducing the Rebate Amount for Part B Rebatable Drugs in Shortage and When There Is a,995
i.  Definitions,996
"f Rebate Amounts, Reconciliation, Suggestion of Error, and Payments (§§ 427.500",1006
i.  Definitions,1007
g.  Enforcement of Manufacturer Payment of Rebate Amounts (§ 427.600),1022
h.  Severability (§ 427.10),1027
"3.  Medicare Part D Drug Rebates for Drugs, Biologicals, and Sole Source Generic Drugs with",1028
a.  Definitions (§ 428.20),1029
b.  Determination of Part D Rebatable Drugs (§§ 428.100 through 428.101),1030
i.  Definitions,1030
c.  Determination of the Rebate Amount for Part D Rebatable Drugs (§§ 428.200 through,1033
i.  Definitions,1033
v.  Treatment of New Formulations of Part D Rebatable Drugs,1065
d.  Reducing the Rebate Amount for Part D Rebatable Drugs in Shortage and When There Is a,1067
i.  Definitions,1069
"e.  Reports of Rebate Amounts, Reconciliation, Suggestion of Error, and Payments (§§ 428.400",1083
i.  Definitions,1085
428.500),1100
g.  Severability (§ 428.10),1104
J. Request for Information: Building upon the MIPS Value Pathways (MVPs) Framework to,1105
1. Background,1105
2. Solicitation of Public Comments,1111
a. Participant Definition,1111
b. MVP Performance Assessment,1115
c.  Payment Methodology,1119
d. Care Delivery and Incentives for Partnerships with Accountable Care Entities and Integration,1121
e. Health Information Technology and Data Sharing,1122
f. Health Equity,1124
g. Multi-payer Alignment,1126
K. Expand Colorectal Cancer Screening,1127
1. Background,1128
2. Statutory Authority,1130
3. Regulatory and NCD Authority,1130
4. Proposed Revisions,1134
6. Summary,1144
L.  Requirements for Electronic Prescribing for Controlled Substances for a Covered Part D,1145
1.  Previous Regulatory Action,1145
2.  Timeline for Including Prescriptions Written for Beneficiaries in Long-term Care (LTC),1151)(a) and (b) of the CSA (P.C.A.) (1).
,1147
a.  Background,1147
b. Barriers to Electronic Prescribing of Controlled Substances for Beneficiaries in LTC and the,1150
c.  Timeframe for Including Prescriptions Written for Beneficiaries in LTC in the CMS EPCS,1152
M. Expand Hepatitis B Vaccine Coverage,1155
1. Background,1156
2.  Statutory Authority,1159
3.  Regulation,1159
4.  Proposed Regulatory Revisions,1160
B. We propose that this exception apply to the proposed § 410.63(a)(2)(iv) because individuals,1161
5. Summary,1161
N. Low Titer O+ Whole Blood Transfusion Therapy During Ground Ambulance Transport,1161
1. Ambulance Fee Schedule Background,1161
2.  Low Titer O+ Whole Blood Transfusion Therapy During Ground Ambulance Transport,1162
O. Medicare Parts A and B Overpayment Provisions of the Affordable Care Act,1168
1. Executive Summary,1169
2. Provisions of the Proposed Regulation (Preamble),1169
ction 1128J(d) of the Act,1170
b.  Relevant Litigation,1171
c.  Provisions of Proposed Regulations,1172
IV.  Updates to the Quality Payment Program,1175
A.  CY 2025 Modifications to the Quality Payment Program,1175
1.  Executive Summary,1175
a.  Overview,1175
b. Summary of Major Proposals,1177
2.  Definitions,1186
3. Transforming the Quality Payment Program,1187
a.  Vision and Strategy Overview,1187
b. The Role of MVPs in Transforming MIPS,1190
c.  Mandatory Subgroup Reporting Requirement,1200
d.  RFI Questions,1205
a.  CY 2025 MVP Development and Maintenance,1208
b.  MVP Requirements and Scoring,1214
c. APM Performance Pathway,1224
135. https://doi.org/10.1016/j.amepre.2015.08.024.,1236
d. Data Submission for the Performance Categories,1244
f. MIPS Performance Category Measures and Activities,1262
f.  MIPS Final Score Methodology,1363
g. MIPS Payment Adjustments,1401
view and Correction of MIPS Final Score – Feedback and Information to Improve,1415
i. Calculating the Final Score,1416
j. Third Party Intermediaries General Requirements,1423
k. Overview of QP Determinations and the APM Incentive,1425
A.  Wage Estimates,1440
B.  Proposed Information Collection Requirements (ICRs),1442
1.  ICRs Regarding Clinical Laboratory Fee Schedule: Revised Data Reporting Period and,1442
2.  ICRs Regarding the Updates to the Medicare Diabetes Prevention Program,1443
3.  ICRs Regarding the Medicare Shared Savings Program,1444
4.  ICRs Regarding Rebate Reduction Requests Submitted Under Sections 11101 and 11102 of,1444
5.  ICRs Regarding Medicare Parts A and B Overpayment Provisions of the Affordable Care Act,1446
6.  The Quality Payment Program (42 CFR part 414 and section IV of this proposed rule),1446
a.  Background,1447
b.  ICRs Regarding the Virtual Group Election (§ 414.1315),"1464) and Section IV(b)(1) of Part I of that proposed Rule (pp 1465) – (1)(i) The Virtual Groups Election is a method of electing a virtual group of individuals to participate in the health care system. The virtual groups are not required to be members of a single health insurance plan. (2)   The Virtual groups may be selected by a physician or other health professional. A physician may select a group based on the characteristics of each individual. For example, a doctor may choose a person who is not a member of an individual health plan, or a health provider may elect to elect a new group. In addition, the physician must select the group to which the individual is eligible. If the doctor determines that the virtual members are eligible, he or she may use the information provided by the patient to determine the eligibility of such a patient."
c.  ICRs Regarding Third Party Intermediaries (§ 414.1400),1464
d.  ICRs Regarding Open Authorization (OAuth) Credentialing and Token Request Process,1481
"e.  ICRs Regarding Quality Data Submission (§§ 414.1318, 414.1325, 414.1335, and 414.1365)",1481
g.  ICRs Regarding Promoting Interoperability Data (§§ 414.1375 and 414.1380),1515
"h.  ICRs Regarding Improvement Activities Submission (§§ 414.1305, 414.1355, 414.1360, and",1526
i.  ICRs Regarding the Nomination of Improvement Activities (§ 414.1360),1531
k.  ICRs Regarding the Cost Performance Category (§ 414.1350),1532
l.  ICRs Regarding Partial QP Elections (§§ 414.1310(b) and 414.1430),1532
m.  ICRs Regarding Other Payer Advanced APM Determinations:  Payer-Initiated Process,1534
n.  ICRs Regarding Voluntary Participants Election to Opt-Out of Performance Data Display on,1538
C.  Summary of Proposed Annual Burden Estimates,1538
,1539
VII.  Regulatory Impact Analysis,1540
A. Statement of Need,1540
1.  Statutory Provisions,1540
a.  Clinical Laboratory Fee Schedule (CLFS) – Proposed Revisions Consistent with Recent,1540
b.  Medicare Prescription Drug Inflation Rebate Program,1541
c.  Requirement for Electronic Prescribing for Controlled Substances for a Covered Part D Drug,1542
d.  Quality Payment Program,1542
2.  Discretionary Provisions,1542
a. Drugs and Biological Products Paid Under Medicare Part B,1542
b.  RHCs and FQHCs,1544
c.  Modifications Related to Medicare Coverage for Opioid Use Disorder (OUD) Treatment,1546
d.  Medicare Shared Savings Program,1550
e.  Medicare Part B Payment for Preventive Services,1552
f.  Expand Colorectal Cancer Screening,1553
g.  Expand Hepatitis B Vaccine Coverage,1554
h.  Medicare Parts A and B Overpayment Provisions of the Affordable Care Act (§ 401.305(b)(1),1555
,1555
C.  Changes in Relative Value Unit (RVU) Impacts,1558
"1. Resource-Based Work, PE, and MP RVUs",1558
2. CY 2025 PFS Impact Discussion,1568
a. Changes in RVUs,1568
b. Impact,1571
D.  Impact of Changes Related to Telehealth Services,1571
E.  Other Provisions of the Regulation,1572
1.  Impact of Proposals for Medicare Parts A and B Payment for Dental Services Inextricably,1572
2.  Impact of Proposed Changes Related to Supervision of Outpatient Therapy Services in,1574
3. Impacts of Proposed Changes Related to Advanced Primary Care Management Services,1575
4. Impact of Proposed Changes Related to Strategies for Improving Global Surgery Payment,1578
5.  Drugs and Biological Products Paid Under Medicare Part B,1581
a. Requiring Manufacturers of Certain Single-Dose Container or Single-Use Package Drugs to,1581
b. Impacts Related to the Payment Limit Calculation When Manufacturers Report Negative or,1585
. Impacts Related to the Payment of Radiopharmaceuticals in the Physician Office,1591
d. Impacts Related to Immunosuppressive Therapy,1591
e. Impacts Related to Clotting Factors,1592
6.  Impacts related to Rural Health Clinics (RHCs) and Federally Qualified Health Centers,1593
7.  Changes in the RHC and FQHC CfCs: Provision of services (§ 491.9(a)(2) and (c)(2)(ii) and,1595
8.  Clinical Laboratory Fee Schedule,1597
9.  Effects of Proposals Relating to the Medicare Diabetes Prevention Program Expanded Model,1599
a.  Effects on Beneficiaries,1599
b.  Effects on the Market,1602
c.  Payment for MDPP Services,1603
d.  Effects on the Medicare Program,1604
11.  Medicare Shared Savings Program,1607
a.  General Impacts,1607
b. Compliance with Requirements of Section 1899(i)(3) of the Act,1614
12.  Medicare Part B Payment for Preventive Services,1617
ation Rebate Program,1618
14. Expand Colorectal Cancer Screening,1619
15.  Requirement for Electronic Prescribing for Controlled Substances for a Covered Part D,1621
16.  Expand Hepatitis B Vaccine Coverage,1622
17.  Low Titer O+ Whole Blood Transfusion Therapy During Ground Ambulance Transport,1624
18. Updates to the Quality Payment Program,1625
A. Overall MIPS Modeling Approach and Data Assessment,1625
b.  APM Incentive Payments to QPs in Advanced APMs and Other Payer Advanced APMs,1626
c. Estimated Number of MIPS Eligible Clinicians in the CY 2025 Performance Period/2027,1629
d. Modeling Approach and Methods for MIPs Value Pathways (MVPs) and Traditional MIPS,1632
75. Our proposed policies have the effect of shifting final scores to the right. Many clinicians,1642
143.,1652
e. Additional Impacts from Outside Payment Adjustments,1654
i.  Assumptions & Limitations,1662
F.  Alternatives Considered,1663
1. Alternatives Considered Related to Strategies for Improving Global Surgery Payment,1663
2.  Alternatives Considered Related to the Supervision of Outpatient Therapy Services in Private,1665
3.  Alternatives Considered for the Quality Payment Program,1666
G.  Impact on Beneficiaries,1667
1.  Medicare Shared Savings Program Provisions,1667
2.  Quality Payment Program,1668
H.  Estimating Regulatory Familiarization Costs,1668
I.  Accounting Statement,1669
J.  Conclusion,1670
1.  The authority citation for part 401 is revised to read as follows:,1673
2.  Section 401.305 is amended by revising paragraphs (b)(1) introductory text and (b)(2),1673
3.  The authority citation for part 405 continues to read as follows:,1674
4. Section 405.2410 is amended by revising paragraphs (c)(1) and (2) to read as follows:,1674
5. Section 405.2462 is amended by—,1674
"f)(2), and (g)(1)(ii), removing",1674
b. Revising and republishing paragraph (j).,1674
6. Section 405.2463 is amended by—,1675
a.  Revising paragraph (b)(3) introductory text;,1675
"b.  In paragraph (c)(4) introductory text, removing “grandfathered” and adding in its",1676
7. Section 405.2464 is amended by revising paragraphs (c) and (d) and adding paragraphs,1676
8. Section 405.2466 is amended by revising paragraph (b)(1)(iv) to read as follows:,1678
9. Section 405.2469 is amended in paragraph (a)(2) by removing “grandfathered” and,1679
11. Section 410.26 is amended by revising paragraph (a)(2) to read as follows:,1679
12. Section 410.30 is amended by revising paragraph (a) to read as follows:,1679
13. Section 410.32 is amended by revising paragraph (b)(3)(ii) to read as follows:,1680
14. Section 410.37 is amended by--,1681
"a. In paragraph (a)(1)(iv), removing the text “barium enemas” and adding in its place","168) (emphasis added) the words ․grandfather‡ and ‡grandmother․ and inserting in their place the word †grandparent† and in the place of the phrase –grandchild . (Preliminary amendment of paragraph is made by adding at the end the new paragraph and the first sentence of subsection (f) of this section.) (Added by Ord. No. 6, File No: 10-10-06, App. 1/1/2006) SEC. 10.01. REPEAL OF REQUIREMENTS FOR REPAIR OF DEPARTMENT OF DEFENSE REPORTS. The Secretary of Defense shall submit to the Committees on Armed Services of both Houses of Congress a report on the Department of Justice's compliance with the requirements of section 10 of title 10, United States Code, and on its compliance in carrying out the provisions of that section. Such report shall include the results of such review and report. SEC. 10. RE"
b. Revising paragraph (a)(4);,1681
"c. In paragraph (e)(2), removing the text “barium enema” and adding in its place",1681
"d. In paragraph (g)(2), removing the text “barium enema” and adding in its place",1681
"e. Revising paragraphs (h), (i), and (k).",1681
15.  Section 410.59 is amended by revising paragraphs (a)(3)(ii) and (c)(2) to read as,1682
16. Section 410.60 is amended by revising paragraphs (a)(3)(ii) and (c)(2) to read as,1683
17. Section 410.63 is amended by--,1684
a. Revising paragraph (a) introductory text;,1684
b. Removing the word “and” at the end of paragraph (a)(2)(ii);,1684
c. Removing the period at the end of paragraph (a)(2)(iii) and adding in its place “; and”;,1684
d. Adding paragraph (a)(2)(iv); and,1684
e. Revising paragraphs (b) and (c)(1).,1684
"18. Section 410.67 is amended in paragraph (b), in the definition of “Opioid use disorder",1685
graph (a)(3) read as follows:,1686
a.  In paragraph (b):,1687
i.  Removing the definition of “Combination delivery”;,1687
"b.  Revising paragraphs (d)(1) introductory text, (e)(3)(iii)(C), (e)(3)(iv)(F)(3), and",1687
